question_id,question_text,option_a,option_b,option_c,option_d,correct_answer,difficulty,topic
1,What is 3 + 4?,5,6,7,8,7,low,addition
2,What is 6 + 2?,6,7,8,9,8,low,addition
3,What is 5 + 3?,6,7,8,9,8,low,addition
4,What is 2 + 7?,8,9,10,11,9,low,addition
5,What is 8 + 1?,7,8,9,10,9,low,addition
6,What is 15 + 6?,19,20,21,22,21,medium,addition
7,What is 23 + 5?,26,27,28,29,28,medium,addition
8,What is 18 + 10?,26,27,28,29,28,medium,addition
9,What is 7 + 15?,20,21,22,23,22,medium,addition
10,What is 12 + 9?,20,21,22,23,21,medium,addition
11,What is 5 + 3 + 6?,12,13,14,15,14,high,addition
12,What is 8 + 4 + 2?,12,13,14,15,14,high,addition
13,What is 7 + 9 + 5?,19,20,21,22,21,high,addition
14,What is 6 + 8 + 3?,15,16,17,18,17,high,addition
15,What is 4 + 5 + 7?,15,16,17,18,16,high,addition
16,What is 9 - 3?,5,6,7,8,6,low,subtraction
17,What is 7 - 2?,3,4,5,6,5,low,subtraction
18,What is 8 - 5?,2,3,4,5,3,low,subtraction
19,What is 6 - 1?,4,5,6,7,5,low,subtraction
20,What is 5 - 3?,1,2,3,4,2,low,subtraction
21,What is 25 - 10?,12,13,14,15,15,medium,subtraction
22,What is 30 - 7?,21,22,23,24,23,medium,subtraction
23,What is 14 - 4?,8,9,10,11,10,medium,subtraction
24,What is 19 - 5?,12,13,14,15,14,medium,subtraction
25,What is 28 - 13?,14,15,16,17,15,medium,subtraction
26,What is 20 - 5 - 3?,10,11,12,13,12,high,subtraction
27,What is 18 - 4 - 2?,10,11,12,13,12,high,subtraction
28,What is 15 - 6 - 3?,5,6,7,8,6,high,subtraction
29,What is 14 - 5 - 4?,3,4,5,6,5,high,subtraction
30,What is 12 - 3 - 2?,5,6,7,8,7,high,subtraction
31,What is 2 x 3?,4,5,6,7,6,low,multiplication
32,What is 4 x 2?,6,7,8,9,8,low,multiplication
33,What is 3 x 3?,6,8,9,12,9,low,multiplication
34,What is 5 x 1?,3,4,5,6,5,low,multiplication
35,What is 6 x 1?,4,5,6,7,6,low,multiplication
36,What is 10 x 2?,18,19,20,21,20,medium,multiplication
37,What is 7 x 3?,18,19,20,21,21,medium,multiplication
38,What is 6 x 5?,28,29,30,31,30,medium,multiplication
39,What is 4 x 9?,34,35,36,37,36,medium,multiplication
40,What is 8 x 4?,30,31,32,33,32,medium,multiplication
41,What is 2 x 3 x 4?,20,22,24,26,24,high,multiplication
42,What is 3 x 3 x 3?,24,25,26,27,27,high,multiplication
43,What is 2 x 5 x 3?,28,29,30,31,30,high,multiplication
44,What is 4 x 2 x 3?,22,23,24,25,24,high,multiplication
45,What is 1 x 6 x 5?,28,29,30,31,30,high,multiplication
46,What is 8 ÷ 2?,2,3,4,5,4,low,division
47,What is 6 ÷ 3?,1,2,3,4,2,low,division
48,What is 9 ÷ 3?,1,2,3,4,3,low,division
49,What is 4 ÷ 2?,1,2,3,4,2,low,division
50,What is 12 ÷ 4?,2,3,4,5,3,low,division
51,What is 20 ÷ 5?,3,4,5,6,4,medium,division
52,What is 18 ÷ 2?,6,7,8,9,9,medium,division
53,What is 28 ÷ 4?,6,7,8,9,7,medium,division
54,What is 24 ÷ 6?,3,4,5,6,4,medium,division
55,What is 15 ÷ 3?,2,3,4,5,5,medium,division
56,What is 36 ÷ 3 ÷ 2?,4,5,6,7,6,high,division
57,What is 48 ÷ 4 ÷ 2?,4,5,6,7,6,high,division
58,What is 30 ÷ 5 ÷ 1?,4,5,6,7,6,high,division
59,What is 18 ÷ 3 ÷ 1?,4,5,6,7,6,high,division
60,What is 27 ÷ 3 ÷ 3?,1,2,3,4,3,high,division
